id,title,category,sub_category,grade,completeness,missing_fields,cover_file,cover_url,body_len,history_len
tangshi-300-361,涼州詞二首 一 · 王之渙,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_tangshi-300-361.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-361.jpg,19,0
lunyu-15,季氏篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-15.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-15.jpg,7,0
lunyu-10,先进篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-10.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-10.jpg,7,0
nalan-11,生查子·短焰剔残花,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-11.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-11.jpg,22,0
lunyu-17,微子篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-17.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-17.jpg,7,0
lunyu-14,卫灵公篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-14.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-14.jpg,8,0
lunyu-11,颜渊篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-11.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-11.jpg,7,0
nalan-73,朝中措·蜀弦秦柱不关情,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-73.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-73.jpg,24,0
lunyu-12,子路篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-12.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-12.jpg,7,0
nalan-12,生查子·惆怅彩云飞,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-12.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-12.jpg,22,0
nalan-13,浣溪沙·庚申除夜,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-13.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-13.jpg,21,0
lunyu-9,乡党篇,classics,,D,45%,excerpt|body|history|influence|faq|related_people,article_lunyu-9.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_lunyu-9.jpg,7,0
nalan-64,一络索·野火拂云微绿,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-64.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-64.jpg,23,0
nalan-65,清平乐·将愁不去,poems,,D,45%,excerpt|body|history|influence|faq|related_people,article_nalan-65.jpg,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-65.jpg,21,0
tangshi-300-362,闕題 · 劉眘虛,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-362.jpg,14,0
nalan-66,清平乐·塞鸿去矣,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-66.jpg,21,0
tangshi-300-59,桃源行 · 王維,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-59.jpg,14,0
nalan-68,清平乐·才听夜雨,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-68.jpg,21,0
nalan-69,清平乐·上元月蚀,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-69.jpg,21,0
nalan-70,清平乐·凄凄切切,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-70.jpg,21,0
nalan-71,阮郎归·杏花疏雨洒香堤,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-71.jpg,24,0
tangshi-300-87,江南詞 · 李益,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-87.jpg,14,0
tangshi-300-132,過香積寺 · 王維,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_tangshi-300-132.jpg,15,0
nalan-99,满庭芳·堠雪翻鸦,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-99.jpg,21,0
nalan-161,清平乐·风鬟雨鬓,poems,,D,45%,excerpt|body|history|influence|faq|related_people,✗,https://ozshflujnxonhfwdtunp.supabase.co/storage/v1/object/public/covers/article_nalan-161.jpg,21,0
